bookno,Title,Author,Language
2591,Grimms' Fairy Tales,Jacob Grimm,English
27200,Fairy Tales of Hans Christian Andersen,Hans Christian Andersen,English
32488,Just So Stories,Rudyard Kipling,English
2781,Just So Stories,Rudyard Kipling,English
4357,American Fairy Tales,L. Frank Baum,English
572,The Great Big Treasury of Beatrix Potter,Beatrix Potter,English
582,A Collection of Beatrix Potter Stories,Beatrix Potter,English
18811,The Light Princess and Other Fairy Stories,George MacDonald,English
27903,The Magic World,Edith Nesbit,English
163,Flower Fables,Louisa May Alcott,English
17860,Stories from Hans Andersen,Hans Christian Andersen,English
