bookno,Title,Author,Language
1952,The Yellow Wallpaper,Charlotte Perkins Gilman,English
43,The strange case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,English
1661,The Adventures of Sherlock Holmes,Arthur Conan Doyle,English
74,The Adventures of Tom Sawyer,Mark Twain,English
76,Adventures of Huckleberry Finn,Mark Twain,English
244,A Study in Scarlet,Arthur Conan Doyle,English
84,Frankenstein; or, the modern prometheus,Mary Wollstonecraft Shelley,English
11,Alice's Adventures in Wonderland,Lewis Carroll,English
16,Peter Pan,J. M. Barrie,English
98,A Tale of Two Cities,Charles Dickens,English
174,The Picture of Dorian Gray,Oscar Wilde,English
120,Treasure Island,Robert Louis Stevenson,English
2148,The Works of Edgar Allan Poe - Volume 2,Edgar Allan Poe,English
2591,Grimms' Fairy Tales,Jacob Grimm,English
51082,Coming Attraction,Fritz Leiber,English
7256,The Gift of the Magi,O. Henry,English
